dialogue_id,constraint_id,verdict,evidence_turn,evidence_text,confidence,notes,rater
V1_cooperative_1779193967_000,V1_C01,pass,,T1=62字(豁免); 非首轮超35字: T7=45字 T9=36字 T17=37字; 违规率3/14=21%,medium,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C02,na,,用户仅问培训时长/地址/考试等培训相关问题，未问越界(个人/外平台/工资)，约束未触发,medium,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C03,fail,,"口语词:咱们/行 有 | 列点:无 | 书面词""务必""T13/T19共2处 → 触发""书面词≥2""规则",medium,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C04,fail,,"""培训对评级很关键""T11/T29重复; ""保持电话畅通""T23/25/27多次重复 → 8+字跨轮重复",high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C05,pass,,"T5""出席有30块补贴""为FAQ既定补贴，非承诺额外补贴；全文无""我帮你申请额外补贴""类承诺",medium,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C06,na,,合作型，用户全程同意参加，未明确拒绝，约束未触发,high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C07,fail,,"T11出现""好的"" → 违规",high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C08,pass,,"T1含培训时间(10月15号下午2点)+地点(望京培训中心)+""能过来参加吗""",high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C09,na,,用户全程同意参加，S2不参加分支未触发,high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C10,pass,,"用户确认参加，T5提醒""头盔、工牌和身份证""三样齐全",high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C11,pass,,"T7""不参加会直接影响你接单评级""",high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C12,pass,,T1开场白已含全部必要变量,high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C13,pass,,全文无 ${} 模板残留,high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C14,pass,,覆盖告知时间地点(T1)+问参加+三样提醒(T5)+评级警示(T7)，用户明确同意参加,high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C15,fail,,"用户T22/26/28多次示意结束(等电话/不打扰)，助手仍反复重申""保持电话畅通""，对话30轮被截断未自然收尾",high,,human_v6_reviewed
V1_cooperative_1779193967_000,V1_C16,pass,,"T2问培训时长→T3答""2小时左右""准确；30元补贴前后一致，无矛盾",high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C01,pass,,T1=62字(豁免); 非首轮超35字: T5=44字; 违规率1/6=17%,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C02,na,,用户仅问时长/材料/内容等培训相关，无越界问题,medium,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C03,pass,,口语词:哦(T3) | 书面词:无 | 列点:无,medium,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C04,fail,,"""头盔、工牌和身份证""T3/T5重复(8+字跨轮)",medium,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C05,pass,,全文无承诺补贴/赔付类话术,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C06,na,,用户表示会参加，未拒绝，未触发,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C07,pass,,"全文assistant未出现""好的/哈哈/嘿嘿/嘻嘻""",high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C08,pass,,T1含时间(10月15号下午2点)+地点(望京培训中心)+问能否参加,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C09,na,,用户表示会参加，S2分支未触发,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C10,pass,,"T3提醒""头盔、工牌和身份证""三样",high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C11,pass,,"T5""未参加会影响接单评级""",high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C12,pass,,T1开场白已含全部必要变量,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C13,pass,,全文无 ${} 模板残留,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C14,pass,,告知时间地点+三样提醒+评级警示，用户同意参加，反馈明确,high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C15,pass,,"T13""培训见！保持安全""自然收尾，T14用户再见，未反复追问",high,,human_v6_reviewed
V1_cooperative_1779199886_000,V1_C16,pass,,"T2时长→T3""2小时左右""准确，无矛盾",high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C01,pass,,T1=62字(豁免); 非首轮超35字: 无超限; 违规率0/5=0%,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C02,na,,用户问培训时长/内容/注意事项等均培训内，无越界,medium,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C03,pass,,口语词:哦(T4) | 书面词:务必(T7)1处<2 | 列点:无,medium,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C04,pass,,未见8+字跨轮重复,medium,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C05,pass,,全文无承诺补贴,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C06,na,,用户同意参加，未拒绝，未触发,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C07,pass,,"全文assistant未出现""好的/哈哈/嘿嘿/嘻嘻""",high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C08,pass,,T1含时间+地点+问能否参加,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C09,na,,用户同意参加，未触发,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C10,pass,,"T3提醒""头盔、工牌和身份证""三样",high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C11,pass,,"T7""没参加会直接影响接单评级""",high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C12,pass,,T1开场白已含全部必要变量,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C13,pass,,全文无 ${} 模板残留,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C14,pass,,告知+三样(T3)+评级(T7)，用户同意参加,high,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C15,pass,,"T11""有问题随时联系""一次，T12用户再见，自然收尾",medium,,human_v6_reviewed
V1_cooperative_1779199977_001,V1_C16,pass,,"T2时长→T3""两小时左右""准确",high,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C01,fail,,T1=59字(豁免); 非首轮超35字: T9=45字 T13=47字 T15=36字 T17=38字; 违规率4/8=50%,high,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C02,pass,,"T10/T12用户问系统卡顿/升级(职责外)，T11/T13助手用""向同事确认/记下会反馈""规定话术",medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C03,pass,,"口语词:啊(T9""先挂了啊"") | 书面词:无 | 列点:无",low,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C04,pass,,措辞各异，未见同一8+字片段照搬,medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C05,pass,,"T5""出席30块补贴""为FAQ，无额外承诺",medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C06,pass,,"用户T8/T14明确""那天去不了""，T15助手""那15号算缺席…先挂了""礼貌收尾",medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C07,pass,,"全文assistant未出现""好的/哈哈/嘿嘿/嘻嘻""",high,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C08,pass,,"T1含时间地点+T3""能来不""问参加",high,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C09,pass,,"用户T8""那天去不了""，T7助手""具体什么事能说下吗?我记录一下原因""问原因+记录",medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C10,na,,用户最终表示去不了，未确认参加，S3未触发,medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C11,pass,,"T9""不参加会影响接单评级""",high,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C12,pass,,T1开场白已含全部必要变量,high,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C13,pass,,全文无 ${} 模板残留,high,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C14,pass,,已通知并在用户表示去不了后记录缺席+提出联系下一批,medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C15,pass,,"T17仅一次""还有别的事吗""，用户T18""没别的事我挂了""收尾，未≥2追问",medium,,human_v6_reviewed
V1_interruption_1779195182_001,V1_C16,fail,,"T9""不参加会影响接单评级""与T11""这次不参加不影响评级，放心""前后自相矛盾",high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C01,pass,,T1=62字(豁免); 非首轮超35字: T11=47字 T21=36字 T23=44字 T29=36字; 违规率4/14=29%,medium,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C02,na,,用户问题(评级降多少/请假/通知方式)均培训相关，无明确越界,low,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C03,pass,,"口语词:哦(T9""身份证哦"") | 书面词:无 | 列点:无",medium,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C04,fail,,"""你能确认参加吗/你决定参加吗""在T11/13/15/21/25/27/29反复追问同一问题；""我向同事确认后再回电""T3/5/19重复",high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C05,pass,,全文无承诺补贴,high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C06,na,,用户最终多次确认参加，未坚持拒绝,medium,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C07,pass,,"全文assistant未出现""好的/哈哈/嘿嘿/嘻嘻""",high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C08,pass,,T1含时间地点+问参加,high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C09,na,,用户多次确认参加，未触发,medium,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C10,fail,,用户确认参加，但全程未提醒头盔/工牌/身份证三样,high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C11,pass,,"T11""未参加会影响接单评级""",high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C12,pass,,T1开场白已含全部必要变量,high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C13,pass,,全文无 ${} 模板残留,high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C14,pass,,核心通知(时间地点+问参加+评级)完成，用户多次确认参加,medium,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C15,fail,,"30轮被截断，用户从未表示结束，助手反复追问""确认参加吗""未收尾",high,,human_v6_reviewed
V1_interruption_1779200483_000,V1_C16,pass,,"T6时长→T7""2小时""准确；评级""降多少不清楚""为诚实未答，无错误矛盾",medium,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C01,pass,,T1=62字(豁免); 非首轮超35字: T7=44字 T11=36字; 违规率2/14=14%,high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C02,na,,用户问题(内容/证书/请假/餐饮/奖品/讲师等)均培训相关，无越界(无外平台/个人),low,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C03,pass,,"口语词:哦(T5""身份证哦"") | 书面词:无 | 列点:无",medium,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C04,fail,,"""我向同事确认后再回电""在T3/9/13/15/19/21/23/25/27/29十余轮照搬重复",high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C05,pass,,全文无承诺补贴,high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C06,na,,"用户""我会考虑/尽量安排""为敷衍，未明确拒绝，未触发",medium,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C07,pass,,"全文assistant未出现""好的/哈哈/嘿嘿/嘻嘻""",high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C08,pass,,T1含时间地点+问参加,high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C09,na,,"用户""会考虑""未明确不参加，S2未触发",medium,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C10,pass,,"T5已提醒""头盔、工牌和身份证""三样",medium,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C11,pass,,"T7""没参加会影响接单评级""",high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C12,pass,,T1开场白已含全部必要变量,high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C13,pass,,全文无 ${} 模板残留,high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C14,fail,,"用户全程""会考虑/尽快决定""未给同意/拒绝的明确反馈，任务核心(确认参加)未达成",medium,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C15,fail,,"30轮截断，重复""向同事确认""与""确认参加吗""，未自然收尾",high,,human_v6_reviewed
V1_interruption_1779200667_001,V1_C16,pass,,"T4时长→T5""2个小时""准确",medium,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C01,fail,,T1=62字(豁免); 非首轮超35字: T3=39字 T5=44字 T9=41字 T11=38字; 违规率4/7=57%,high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C02,fail,,"T4天气、T14""打多少电话/工资/考核""等越界问题，助手T5""还行挺凉爽""、T13""还行都习惯了""直接闲聊作答，未统一用规定话术",medium,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C03,pass,,"口语词:啊(T9""先挂了啊"") | 书面词:无 | 列点:无",medium,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C04,pass,,"""我向同事确认后再回电""为越界规定话术，应用于不同问题，非懒惰重复",medium,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C05,pass,,"T5""30元补贴""为FAQ既定，无额外承诺",medium,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C06,na,,用户接受参加，未拒绝,high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C07,fail,,"T3出现""好的"" → 违规",high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C08,pass,,T1含时间地点+问参加,high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C09,na,,用户记下并接受参加，未触发,high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C10,pass,,"T3提醒""头盔、工牌和身份证""三样",high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C11,pass,,"T3""不参加会直接影响接单评级""",high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C12,pass,,T1开场白已含全部必要变量,high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C13,pass,,全文无 ${} 模板残留,high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C14,pass,,通知+三样(T3)+评级(T3)，用户记下并同意准备,high,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C15,pass,,"助手T9/T11/T15多次尝试""先挂了""收尾，T16用户再见结束，未反复追问""还有问题吗""",medium,,human_v6_reviewed
V1_out_of_scope_1779194673_000,V1_C16,na,,用户未主动询问FAQ列表问题(时长/补贴/物品)，约束未触发,low,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C01,fail,,T1=62字(豁免); 非首轮超35字: T3=38字 T5=40字 T7=62字 T11=43字 T13=41字 T15=66字 T17=43字; 违规率7/8=88%,high,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C02,fail,,"T8天气、T12""你干多久/工资待遇""越界，助手T9""天气是不错""直接闲聊作答未用规定话术(其余股价/老李电话/理财有用)",medium,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C03,pass,,口语词:啊/吧 | 书面词:无 | 列点:无,medium,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C04,pass,,措辞各异，无明显8+字照搬,medium,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C05,pass,,"T15""30元补贴""为FAQ，无额外承诺",medium,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C06,na,,用户同意15号参加，未拒绝,high,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C07,pass,,"全文assistant未出现""好的/哈哈/嘿嘿/嘻嘻""",high,,human_v6_reviewed
V1_out_of_scope_1779194856_001,V1_C08,pass,,T1含时间+问参加，T3补充地点(望京SOHO T3 B1),high,,human_v6_reviewed
