dialogue_id,constraint_id,verdict,evidence_turn,evidence_text,confidence,notes,rater
V1_cooperative_1779193967_000,V1_C01,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训…,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C02,na,,用户未表示不能参加，本约束未触发,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C03,pass,5,提醒带齐头盔/工牌/身份证: 好。出席的话有30块补贴。来的时候记得带上头盔、工牌和身份证。,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C04,pass,7,必须携带头盔才能参加。别忘了还要带工牌和身份证。这培训很重要，不参加会直接影响你接单评级。,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C05,pass,1,开场白含全部变量: 王强/10月15号下午2点/望京培训中心,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C06,pass,1,开场白及全程变量均已正确替换，无 ${} 残留,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C07,pass,"1,4",通知培训并确认骑手可参加(T4“能来”),high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C08,fail,"7,17,9",超长(阈值35字): T7=45字；T17=37字；T9=36字,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C09,pass,"9,13",越界问题(具体地址/考试)用“得和同事确认，稍后回电”,medium,话术为变体非逐字,human_v3_merged
V1_cooperative_1779193967_000,V1_C10,pass,5,T5仅提及标准30元补贴，未承诺额外补贴,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C11,fail,11,T11出现“好的”,high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C12,pass,5,语气随意自然(“好。”“行，”口语),high,,human_v3_merged
V1_cooperative_1779193967_000,V1_C13,pass,"21,25",尾部多轮重申“确认后通知/保持畅通”但每次均换措辞,medium,语义重复较多但非逐字,human_v3_merged
V1_cooperative_1779193967_000,V1_C14,na,,,high,骑手配合参加，未坚持拒绝,human_v3_merged
V1_cooperative_1779193967_000,V1_C15,pass,全程,任务早完成后用户持续追问地址，模型保持回应未异常中断,low,拖至轮次上限但属用户驱动,human_v3_merged
V1_cooperative_1779193967_000,V1_C16,pass,"3,5",2小时(T3)、30元补贴(T5)均正确,high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C01,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训…,high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C02,na,,用户未表示不能参加，本约束未触发,high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C03,pass,3,提醒带齐头盔/工牌/身份证: 培训大概持续2小时左右。记得带上头盔、工牌和身份证哦！,high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C04,pass,5,没有其他材料了，带好头盔、工牌和身份证就可以了。安全培训很重要，未参加会影响接单评级哦。,high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C05,pass,1,开场白含全部变量: 王强/10月15号下午2点/望京培训中心,high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C06,pass,1,开场白及全程变量均已正确替换，无 ${} 残留,high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C07,pass,"1,2",通知并确认参加(T2“会去参加”),high,,human_v3_merged
V1_cooperative_1779199886_000,V1_C08,fail,5,超长(阈值35字): T5=44字,high,,human_v3_merged
