dialogue_id,constraint_id,verdict,evidence_turn,evidence_text,confidence,notes,rater
V1_cooperative_1779193967_000,V1_C01,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训，你到时候能过来参加吗？,high,,claude
V1_cooperative_1779193967_000,V1_C02,na,,,high,用户未拒绝参加,claude
V1_cooperative_1779193967_000,V1_C03,pass,5,好。出席的话有30块补贴。来的时候记得带上头盔、工牌和身份证。,high,,claude
V1_cooperative_1779193967_000,V1_C04,pass,7,必须携带头盔才能参加。别忘了还要带工牌和身份证。这培训很重要，不参加会直接影响你接单评级。,high,,claude
V1_cooperative_1779193967_000,V1_C05,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训，你到时候能过来参加吗？,high,,claude
V1_cooperative_1779193967_000,V1_C06,pass,全文,所有assistant文本无${}残留,high,,claude
V1_cooperative_1779193967_000,V1_C07,pass,1,通知培训+确认到场: 喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训...,medium,,claude
V1_cooperative_1779193967_000,V1_C08,fail,7,(45字) 必须携带头盔才能参加。别忘了还要带工牌和身份证。这培训很重要，不参加会直接影响你接单评级。,high,3处超长,claude
V1_cooperative_1779193967_000,V1_C09,na,,,high,未出现越界提问,claude
V1_cooperative_1779193967_000,V1_C10,pass,全文,全文未发现额外补贴承诺,high,,claude
V1_cooperative_1779193967_000,V1_C11,fail,11,好的，我稍后确认地址就通知你。记得带齐装备，培训对评级很关键。,high,"含禁用词""好的""",claude
V1_cooperative_1779193967_000,V1_C12,pass,全文,未发现列表/项目符号/书面化用词,medium,,claude
V1_cooperative_1779193967_000,V1_C13,pass,全文,未发现明显重复长片段,medium,,claude
V1_cooperative_1779193967_000,V1_C14,na,,,high,用户未持续拒绝,claude
V1_cooperative_1779193967_000,V1_C15,fail,29,行，我向同事确认地址后马上打给你。保持电话畅通，培训对评级很关键。,high,对话被截断未自然结束,claude
V1_cooperative_1779193967_000,V1_C16,pass,全文,问了:['时长'],medium,,claude
V1_cooperative_1779199886_000,V1_C01,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训，你到时候能过来参加吗？,high,,claude
V1_cooperative_1779199886_000,V1_C02,fail,全文,判定依据见全文(V1_C02),medium,拒绝但未询问原因/记录,claude
V1_cooperative_1779199886_000,V1_C03,pass,3,培训大概持续2小时左右。记得带上头盔、工牌和身份证哦！,high,,claude
V1_cooperative_1779199886_000,V1_C04,pass,5,没有其他材料了，带好头盔、工牌和身份证就可以了。安全培训很重要，未参加会影响接单评级哦。,high,,claude
V1_cooperative_1779199886_000,V1_C05,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训，你到时候能过来参加吗？,high,,claude
V1_cooperative_1779199886_000,V1_C06,pass,全文,所有assistant文本无${}残留,high,,claude
V1_cooperative_1779199886_000,V1_C07,pass,1,通知培训+确认到场: 喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训...,medium,,claude
V1_cooperative_1779199886_000,V1_C08,fail,5,(44字) 没有其他材料了，带好头盔、工牌和身份证就可以了。安全培训很重要，未参加会影响接单评级哦。,high,1处超长,claude
V1_cooperative_1779199886_000,V1_C09,na,,,high,未出现越界提问,claude
V1_cooperative_1779199886_000,V1_C10,pass,全文,全文未发现额外补贴承诺,high,,claude
V1_cooperative_1779199886_000,V1_C11,pass,全文,"全文检查未发现""好的/哈哈/嘿嘿/嘻嘻""",high,,claude
V1_cooperative_1779199886_000,V1_C12,pass,全文,未发现列表/项目符号/书面化用词,medium,,claude
V1_cooperative_1779199886_000,V1_C13,pass,全文,未发现明显重复长片段,medium,,claude
V1_cooperative_1779199886_000,V1_C14,na,,,high,用户未持续拒绝,claude
V1_cooperative_1779199886_000,V1_C15,pass,13,培训见！谢谢你的配合，保持安全哦！,low,结束未明显标志但未截断,claude
V1_cooperative_1779199886_000,V1_C16,pass,全文,问了:['时长'],medium,,claude
V1_cooperative_1779199977_001,V1_C01,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训，你到时候能过来参加吗？,high,,claude
V1_cooperative_1779199977_001,V1_C02,na,,,high,用户未拒绝参加,claude
V1_cooperative_1779199977_001,V1_C03,pass,3,培训大概持续两个小时左右。记得带上头盔、工牌和身份证哦。,high,,claude
V1_cooperative_1779199977_001,V1_C04,pass,7,安全培训很重要，如果没参加会直接影响接单评级，请务必到场。,high,,claude
V1_cooperative_1779199977_001,V1_C05,pass,1,喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训中心有个线下安全培训，你到时候能过来参加吗？,high,,claude
V1_cooperative_1779199977_001,V1_C06,pass,全文,所有assistant文本无${}残留,high,,claude
V1_cooperative_1779199977_001,V1_C07,pass,1,通知培训+确认到场: 喂，是王强吗？我是咱们美团的骑手站长。通知你一下，10月15号下午2点在望京培训...,medium,,claude
V1_cooperative_1779199977_001,V1_C08,pass,7,最长turn=29字: 安全培训很重要，如果没参加会直接影响接单评级，请务必到场。,high,,claude
