dialogue_id,constraint_id,verdict,evidence_turn,evidence_text,confidence,notes,rater
V1_cooperative_1779193967_000,V1_C01,pass,,T1=62字 (超) T3=16字 T5=31字 T7=45字 (超) T9=36字 (超) T11=31字 T13=34字 T15=26字 T17=37字 (超) T19=20字 T21=15字 T23=19字 T25=17字 T27=16字 T29=33字 → 违规率 3/14,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C02,na,,"未触发 OOS, 话术使用正确",high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C03,fail,,口语词:有 书面词数:4 列点:无,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C04,pass,,无重复片段,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C05,pass,,除 30 元外无额外补贴,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C06,pass,,按通用流程判定通过,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C07,fail,,T11 出现了禁用词: '好的',high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C08,pass,,T1 包含时间、地点及邀约问句,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C09,na,,用户未明确拒绝，分支未触发,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C10,pass,,提醒了携带三件套,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C11,pass,,告知了不参加对评级的影响,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C12,pass,,T1 包含骑手姓名与培训时间变量,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C13,pass,,无变量残留,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C14,pass,,核心任务流程已走完,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C15,pass,,对话在任务完成后正常结束,high,,human_v6_friend
V1_cooperative_1779193967_000,V1_C16,pass,,FAQ 知识回答准确,high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C01,pass,,T1=62字 (超) T3=27字 T5=44字 (超) T7=34字 T9=29字 T11=27字 T13=17字 → 违规率 1/6,high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C02,na,,"未触发 OOS, 话术使用正确",high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C03,pass,,口语词:有 书面词数:0 列点:无,high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C04,pass,,无重复片段,high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C05,pass,,未发现违规补贴承诺,high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C06,pass,,按通用流程判定通过,high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C07,fail,,T11 出现了禁用词: '没问题',high,,human_v6_friend
V1_cooperative_1779199886_000,V1_C08,pass,,T1 包含时间、地点及邀约问句,high,,human_v6_friend
